DATE,VALUE
1959-01-01,19956.88
1959-04-01,19958.71
1959-07-01,19977.98
1959-10-01,20055.21
1960-01-01,19871.50
1960-04-01,19917.58
1960-07-01,20149.88
1960-10-01,20068.28
1961-01-01,20014.53
1961-04-01,20299.67
1961-07-01,20024.54
1961-10-01,19748.80
1962-01-01,19957.43
1962-04-01,19716.83
1962-07-01,19829.10
1962-10-01,19945.92
1963-01-01,19506.18
1963-04-01,19479.16
1963-07-01,19403.60
1963-10-01,19547.26
1964-01-01,19586.70
1964-04-01,19298.38
1964-07-01,19174.70
1964-10-01,19102.41
1965-01-01,19444.76
1965-04-01,19321.94
1965-07-01,19463.24
1965-10-01,19506.46
1966-01-01,19047.70
1966-04-01,19099.48
1966-07-01,19109.12
1966-10-01,19135.45
1967-01-01,19360.14
1967-04-01,19254.67
1967-07-01,19307.12
1967-10-01,19349.59
1968-01-01,19326.31
1968-04-01,19405.64
1968-07-01,19281.46
1968-10-01,19175.07
1969-01-01,19119.79
1969-04-01,19179.62
1969-07-01,19029.06
1969-10-01,19126.59
1970-01-01,19161.64
1970-04-01,19171.63
1970-07-01,19244.76
1970-10-01,19293.11
1971-01-01,19231.00
1971-04-01,19384.30
1971-07-01,19170.35
1971-10-01,18923.77
1972-01-01,18912.75
1972-04-01,18797.86
1972-07-01,18833.81
1972-10-01,18853.96
1973-01-01,18770.12
1973-04-01,18880.48
1973-07-01,19114.36
1973-10-01,19254.02
1974-01-01,19395.69
1974-04-01,19386.52
1974-07-01,19319.92
1974-10-01,19474.27
1975-01-01,19648.84
1975-04-01,19399.30
1975-07-01,19411.51
1975-10-01,19510.91
1976-01-01,19329.70
1976-04-01,19524.88
1976-07-01,19855.79
1976-10-01,19731.17
1977-01-01,19848.42
1977-04-01,20042.96
1977-07-01,19677.42
1977-10-01,19608.05
1978-01-01,19795.30
1978-04-01,19880.07
1978-07-01,19895.00
1978-10-01,19873.76
1979-01-01,19890.22
1979-04-01,19977.41
1979-07-01,20114.98
1979-10-01,20241.88
1980-01-01,20143.63
1980-04-01,20252.52
1980-07-01,20409.64
1980-10-01,20439.70
1981-01-01,20489.04
1981-04-01,20335.33
1981-07-01,20278.25
1981-10-01,20339.37
1982-01-01,20305.73
1982-04-01,20424.86
1982-07-01,20236.69
1982-10-01,20227.97
1983-01-01,20277.73
1983-04-01,20397.53
1983-07-01,20351.26
1983-10-01,20375.44
1984-01-01,20393.72
1984-04-01,20317.02
1984-07-01,20452.09
1984-10-01,20515.27
1985-01-01,20383.51
1985-04-01,20513.00
1985-07-01,20600.67
1985-10-01,20542.68
1986-01-01,20618.55
1986-04-01,20592.42
1986-07-01,20560.25
1986-10-01,20696.88
1987-01-01,20639.51
1987-04-01,20553.26
1987-07-01,20596.01
1987-10-01,20555.40
1988-01-01,20779.72
1988-04-01,20846.95
1988-07-01,20829.14
1988-10-01,20810.30
1989-01-01,20776.39
1989-04-01,20747.33
1989-07-01,20812.07
1989-10-01,20994.21
1990-01-01,21108.93
1990-04-01,21184.31
1990-07-01,21250.53
1990-10-01,21313.99
1991-01-01,21402.45
1991-04-01,21407.22
1991-07-01,21403.50
1991-10-01,21424.01
1992-01-01,21405.41
1992-04-01,21581.96
1992-07-01,21190.44
1992-10-01,21541.80
1993-01-01,21462.16
1993-04-01,21360.36
1993-07-01,21255.01
1993-10-01,21137.79
1994-01-01,21017.45
1994-04-01,20968.56
1994-07-01,20878.49
1994-10-01,20809.68
1995-01-01,20744.21
1995-04-01,20742.13
1995-07-01,20765.68
1995-10-01,20800.05
1996-01-01,20824.20
1996-04-01,20805.16
1996-07-01,20859.98
1996-10-01,20832.47
1997-01-01,20826.79
1997-04-01,20877.11
1997-07-01,20852.68
1997-10-01,20861.43
1998-01-01,20952.06
1998-04-01,20998.65
1998-07-01,21038.95
1998-10-01,21138.04
1999-01-01,21182.43
1999-04-01,21240.67
1999-07-01,21305.45
1999-10-01,21343.41
2000-01-01,21445.92
2000-04-01,21518.00
2000-07-01,21706.34
2000-10-01,21812.22
2001-01-01,21901.48
2001-04-01,21924.62
2001-07-01,21993.55
2001-10-01,22068.74
2002-01-01,22177.91
2002-04-01,22207.68
2002-07-01,22273.56
2002-10-01,22221.41
2003-01-01,22161.23
2003-04-01,22254.67
2003-07-01,22310.46
2003-10-01,22396.34
2004-01-01,22330.32
2004-04-01,22400.48
2004-07-01,22462.70
2004-10-01,22527.27
2005-01-01,22511.84
2005-04-01,22547.74
2005-07-01,22548.99
2005-10-01,22719.30
2006-01-01,22861.85
2006-04-01,23011.06
2006-07-01,22979.00
2006-10-01,23012.89
2007-01-01,23073.09
2007-04-01,23151.24
2007-07-01,23300.30
2007-10-01,23371.70
2008-01-01,23485.30
2008-04-01,23417.30
2008-07-01,23369.95
2008-10-01,23298.21
2009-01-01,23186.70
2009-04-01,23067.17
2009-07-01,22969.08
2009-10-01,22922.78
2010-01-01,22897.69
2010-04-01,22874.15
2010-07-01,22852.60
2010-10-01,22909.37
2011-01-01,22945.02
2011-04-01,22961.49
2011-07-01,22991.07
2011-10-01,22974.15
