location,time,variable,value,unit_measure,unit_mult,currency,price_base,reference_year,adjustment,transformation,obs_status,conf_status,base_period,decimals,series_key
AUS,1959-Q3,consumption,40136,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1959-Q4,consumption,41242,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1960-Q1,consumption,41636,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1960-Q2,consumption,42158,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1960-Q3,consumption,42698,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1960-Q4,consumption,42364,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1961-Q1,consumption,41816,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1961-Q2,consumption,41943,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1961-Q3,consumption,42210,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1961-Q4,consumption,42493,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1962-Q1,consumption,43901,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1962-Q2,consumption,44460,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1962-Q3,consumption,44811,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1962-Q4,consumption,45211,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1963-Q1,consumption,46055,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
AUS,1963-Q2,consumption,46417,XDC,6,AUD,L,2023-2024,Y,N,A,F,,1,Q.Y.AUS.S1M.S1.P3._Z._Z._T.XDC.L.N.T0102
