DATE,VALUE
1978-01-01,89.5
1978-04-01,89.7
1978-07-01,89.5
1978-10-01,89.7
1979-01-01,89.6
1979-04-01,89.9
1979-07-01,90.0
1979-10-01,90.1
1980-01-01,90.2
1980-04-01,90.1
1980-07-01,90.0
1980-10-01,89.9
1981-01-01,90.0
1981-04-01,89.6
1981-07-01,89.3
1981-10-01,89.6
1982-01-01,89.7
1982-04-01,90.0
1982-07-01,90.0
1982-10-01,90.1
1983-01-01,89.9
1983-04-01,89.8
1983-07-01,89.8
1983-10-01,89.6
1984-01-01,89.3
1984-04-01,89.0
1984-07-01,88.9
1984-10-01,88.6
1985-01-01,88.7
1985-04-01,88.7
1985-07-01,88.8
1985-10-01,89.2
1986-01-01,89.2
1986-04-01,89.4
1986-07-01,89.4
1986-10-01,89.3
1987-01-01,89.4
1987-04-01,89.7
1987-07-01,89.8
1987-10-01,89.9
1988-01-01,90.2
1988-04-01,90.4
1988-07-01,90.7
1988-10-01,91.0
1989-01-01,91.5
1989-04-01,91.8
1989-07-01,92.1
1989-10-01,92.4
1990-01-01,91.5
1990-04-01,91.7
1990-07-01,91.7
1990-10-01,91.9
1991-01-01,92.0
1991-04-01,91.9
1991-07-01,91.9
1991-10-01,91.8
1992-01-01,91.6
1992-04-01,91.5
1992-07-01,91.1
1992-10-01,90.9
1993-01-01,90.5
1993-04-01,90.3
1993-07-01,90.2
1993-10-01,90.0
1994-01-01,90.1
1994-04-01,90.5
1994-07-01,90.8
1994-10-01,90.9
1995-01-01,91.2
1995-04-01,91.6
1995-07-01,91.6
1995-10-01,91.8
1996-01-01,92.0
1996-04-01,92.1
1996-07-01,92.1
1996-10-01,92.0
1997-01-01,91.7
1997-04-01,91.6
1997-07-01,91.7
1997-10-01,91.9
1998-01-01,92.3
1998-04-01,92.6
1998-07-01,92.8
1998-10-01,93.0
1999-01-01,93.2
1999-04-01,93.5
1999-07-01,93.9
1999-10-01,94.5
2000-01-01,95.3
2000-04-01,96.0
2000-07-01,96.6
2000-10-01,97.1
2001-01-01,97.3
2001-04-01,97.6
2001-07-01,97.9
2001-10-01,98.2
2002-01-01,98.4
2002-04-01,98.6
2002-07-01,98.9
2002-10-01,99.0
2003-01-01,99.1
2003-04-01,98.8
2003-07-01,98.8
2003-10-01,98.8
2004-01-01,99.0
2004-04-01,99.2
2004-07-01,99.5
2004-10-01,99.6
2005-01-01,99.8
2005-04-01,100.2
2005-07-01,100.0
2005-10-01,100.0
2006-01-01,100.1
2006-04-01,100.3
2006-07-01,100.9
2006-10-01,101.4
2007-01-01,101.6
2007-04-01,102.1
2007-07-01,102.7
2007-10-01,103.3
2008-01-01,103.8
2008-04-01,103.8
2008-07-01,103.8
2008-10-01,103.9
2009-01-01,103.3
2009-04-01,103.0
2009-07-01,102.6
2009-10-01,102.4
2010-01-01,102.9
2010-04-01,103.0
2010-07-01,103.1
2010-10-01,103.0
2011-01-01,103.1
2011-04-01,103.3
2011-07-01,103.3
2011-10-01,103.4
