DATE,VALUE
1969-04-01,24464.00
1969-07-01,24454.00
1969-10-01,24435.00
1970-01-01,24459.00
1970-04-01,24367.00
1970-07-01,24371.00
1970-10-01,24364.00
1971-01-01,24156.00
1971-04-01,24552.00
1971-07-01,24465.33
1971-10-01,24403.00
1972-01-01,24495.00
1972-04-01,24540.67
1972-07-01,24585.33
1972-10-01,24693.33
1973-01-01,24896.67
1973-04-01,24982.33
1973-07-01,24973.67
1973-10-01,24998.67
1974-01-01,24987.67
1974-04-01,25002.33
1974-07-01,25062.33
1974-10-01,25061.33
1975-01-01,24998.00
1975-04-01,24955.00
1975-07-01,24916.33
1975-10-01,24863.67
1976-01-01,24809.00
1976-04-01,24781.00
1976-07-01,24770.33
1976-10-01,24788.00
1977-01-01,24801.33
1977-04-01,24800.33
1977-07-01,24808.67
1977-10-01,24824.33
1978-01-01,24860.00
1978-04-01,24897.00
1978-07-01,24945.00
1978-10-01,25054.33
1979-01-01,25113.33
1979-04-01,25160.33
1979-07-01,25229.33
1979-10-01,25275.00
1980-01-01,25251.67
1980-04-01,25188.33
1980-07-01,25048.33
1980-10-01,24851.67
1981-01-01,24662.33
1981-04-01,24496.00
1981-07-01,24354.67
1981-10-01,24213.00
1982-01-01,24117.00
1982-04-01,24028.67
1982-07-01,23900.67
1982-10-01,23756.67
1983-01-01,23654.00
1983-04-01,23654.67
1983-07-01,23809.67
1983-10-01,23995.00
1984-01-01,24125.00
1984-04-01,24242.67
1984-07-01,24336.67
1984-10-01,24435.00
1985-01-01,24515.00
1985-04-01,24571.33
1985-07-01,24623.33
1985-10-01,24656.67
1986-01-01,24671.67
1986-04-01,24699.33
1986-07-01,24770.00
1986-10-01,24851.67
1987-01-01,24931.67
1987-04-01,25110.33
1987-07-01,25345.00
1987-10-01,25575.00
1988-01-01,25795.00
1988-04-01,25971.00
1988-07-01,26163.33
1988-10-01,26358.33
1989-01-01,26586.67
1989-04-01,26729.67
1989-07-01,26796.67
1989-10-01,26873.33
1990-01-01,26903.33
1990-04-01,26934.00
1990-07-01,26895.00
1990-10-01,26746.67
1991-01-01,26531.67
1991-04-01,26276.67
1991-07-01,26028.33
1991-10-01,25826.67
1992-01-01,25711.67
1992-04-01,25594.33
1992-07-01,25496.00
1992-10-01,25347.67
1993-01-01,25271.33
1993-04-01,25290.67
1993-07-01,25304.67
1993-10-01,25320.33
1994-01-01,25407.00
1994-04-01,25474.00
1994-07-01,25545.67
1994-10-01,25592.33
1995-01-01,25671.00
1995-04-01,25764.67
1995-07-01,25853.00
1995-10-01,25953.33
1996-01-01,25976.00
1996-04-01,26005.67
1996-07-01,26081.67
1996-10-01,26211.00
1997-01-01,26377.67
1997-04-01,26485.67
1997-07-01,26561.33
1997-10-01,26630.00
1998-01-01,26680.67
1998-04-01,26730.67
1998-07-01,26845.33
1998-10-01,26964.67
1999-01-01,27032.00
1999-04-01,27089.33
1999-07-01,27200.00
1999-10-01,27299.67
2000-01-01,27359.00
2000-04-01,27479.33
2000-07-01,27549.33
2000-10-01,27567.33
2001-01-01,27634.67
2001-04-01,27701.67
2001-07-01,27724.00
2001-10-01,27779.67
2002-01-01,27797.00
2002-04-01,27886.67
2002-07-01,27941.00
2002-10-01,28052.33
2003-01-01,28064.33
2003-04-01,28180.67
2003-07-01,28214.67
2003-10-01,28290.67
2004-01-01,28404.33
2004-04-01,28421.33
2004-07-01,28463.67
2004-10-01,28615.33
2005-01-01,28711.00
2005-04-01,28736.00
2005-07-01,28832.67
2005-10-01,28803.67
2006-01-01,28939.00
2006-04-01,28996.00
2006-07-01,29082.67
2006-10-01,29079.67
2007-01-01,29069.00
2007-04-01,29187.00
2007-07-01,29265.67
2007-10-01,29402.33
2008-01-01,29512.33
2008-04-01,29538.67
2008-07-01,29383.33
2008-10-01,29339.33
2009-01-01,29159.33
2009-04-01,28900.33
2009-07-01,28880.00
2009-10-01,28881.33
2010-01-01,28835.67
2010-04-01,29042.67
2010-07-01,29149.33
2010-10-01,29124.33
2011-01-01,29236.00
2011-04-01,29237.67
2011-07-01,29092.33
2011-10-01,29121.00
