"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P31S14_S15","Private final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1960-Q1","Q1-1960","USD","US Dollar","6","millions","2010","2010",81048.3259505667,,
"AUS","Australia","P31S14_S15","Private final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1960-Q2","Q2-1960","USD","US Dollar","6","millions","2010","2010",82074.0961656829,,
"AUS","Australia","P31S14_S15","Private final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1960-Q3","Q3-1960","USD","US Dollar","6","millions","2010","2010",83127.3200848533,,
"AUS","Australia","P31S14_S15","Private final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1960-Q4","Q4-1960","USD","US Dollar","6","millions","2010","2010",82453.4564398864,,
"AUS","Australia","P31S14_S15","Private final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1961-Q1","Q1-1961","USD","US Dollar","6","millions","2010","2010",81412.7114771043,,
"AUS","Australia","P31S14_S15","Private final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1961-Q2","Q2-1961","USD","US Dollar","6","millions","2010","2010",81627.3495269826,,
"AUS","Australia","P31S14_S15","Private final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1961-Q3","Q3-1961","USD","US Dollar","6","millions","2010","2010",82168.9362342338,,
"AUS","Australia","P31S14_S15","Private final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1961-Q4","Q4-1961","USD","US Dollar","6","millions","2010","2010",82703.0355676519,,
"AUS","Australia","P31S14_S15","Private final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1962-Q1","Q1-1962","USD","US Dollar","6","millions","2010","2010",85470.8680945712,,
"AUS","Australia","P31S14_S15","Private final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1962-Q2","Q2-1962","USD","US Dollar","6","millions","2010","2010",86536.5709701299,,
