"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1960-Q1","Q1-1960","AUD","Australian Dollar","6","millions",,,16576,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1960-Q2","Q2-1960","AUD","Australian Dollar","6","millions",,,17408,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1960-Q3","Q3-1960","AUD","Australian Dollar","6","millions",,,17504,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1960-Q4","Q4-1960","AUD","Australian Dollar","6","millions",,,17644,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1961-Q1","Q1-1961","AUD","Australian Dollar","6","millions",,,17652,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1961-Q2","Q2-1961","AUD","Australian Dollar","6","millions",,,17276,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1961-Q3","Q3-1961","AUD","Australian Dollar","6","millions",,,17296,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1961-Q4","Q4-1961","AUD","Australian Dollar","6","millions",,,17432,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1962-Q1","Q1-1962","AUD","Australian Dollar","6","millions",,,17956,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","CARSA","National currency, current prices, annual levels, seasonally adjusted","Q","Quarterly","1962-Q2","Q2-1962","AUD","Australian Dollar","6","millions",,,18348,,
