"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1960-Q1","Q1-1960","USD","US Dollar","6","millions","2010","2010",23403.5690752956,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1960-Q2","Q2-1960","USD","US Dollar","6","millions","2010","2010",22234.6584205057,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1960-Q3","Q3-1960","USD","US Dollar","6","millions","2010","2010",22604.855721155,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1960-Q4","Q4-1960","USD","US Dollar","6","millions","2010","2010",23776.3019738946,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1961-Q1","Q1-1961","USD","US Dollar","6","millions","2010","2010",24095.7873155509,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1961-Q2","Q2-1961","USD","US Dollar","6","millions","2010","2010",24075.5025319536,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1961-Q3","Q3-1961","USD","US Dollar","6","millions","2010","2010",24869.144690195,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1961-Q4","Q4-1961","USD","US Dollar","6","millions","2010","2010",24359.4895023148,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1962-Q1","Q1-1962","USD","US Dollar","6","millions","2010","2010",24620.656091129,,
"AUS","Australia","P3S13","General government final consumption expenditure","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1962-Q2","Q2-1962","USD","US Dollar","6","millions","2010","2010",24356.9539043651,,
