DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,B1GQ,_Z,_Z,_Z,XDC,V,N,T0102,2010-Q3,346092,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P7,_Z,_Z,_Z,XDC,V,N,T0102,2013-Q1,80146,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P7,_Z,_Z,_Z,XDC,V,N,T0102,2018-Q2,105968,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P7,_Z,_Z,_Z,XDC,V,N,T0102,2016-Q4,90267,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P7,_Z,_Z,_Z,XDC,V,N,T0102,2019-Q3,108864,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P7,_Z,_Z,_Z,XDC,V,N,T0102,2019-Q2,107803,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P7,_Z,_Z,_Z,XDC,V,N,T0102,2025-Q2,161938,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P7,_Z,_Z,_Z,XDC,V,N,T0102,2025-Q1,160739,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P7,_Z,_Z,_Z,XDC,V,N,T0102,2026-Q1,172668,,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P7,_Z,_Z,_Z,XDC,V,N,T0102,2025-Q4,170486,,,F,1,A,6,AUD
