DATAFLOW,FREQ,ADJUSTMENT,REF_AREA,SECTOR,COUNTERPART_SECTOR,TRANSACTION,INSTR_ASSET,ACTIVITY,EXPENDITURE,UNIT_MEASURE,PRICE_BASE,TRANSFORMATION,TABLE_IDENTIFIER,TIME_PERIOD,OBS_VALUE,REF_YEAR_PRICE,BASE_PER,CONF_STATUS,DECIMALS,OBS_STATUS,UNIT_MULT,CURRENCY
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P51G,_Z,_T,_Z,XDC,L,N,T0102,2010-Q4,126148,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2000-Q2,174411,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2019-Q2,316409,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2019-Q3,315973,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2010-Q1,250170,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2011-Q1,260731,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2013-Q3,276682,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2014-Q3,283965,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2016-Q1,295143,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2017-Q3,305919,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2018-Q3,313562,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1998-Q2,159469,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1983-Q4,102550,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1984-Q1,103849,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2002-Q4,190589,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2003-Q3,195769,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2005-Q4,215597,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2006-Q1,218058,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2007-Q2,233695,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2007-Q3,237749,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2008-Q4,239618,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2009-Q1,240725,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2011-Q2,262484,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1993-Q1,131270,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2007-Q4,240546,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2012-Q4,271886,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2013-Q4,277929,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2015-Q2,288599,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2017-Q1,302052,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1,S1,P51G,_Z,_T,_Z,XDC,L,N,T0102,1991-Q1,44621,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1994-Q4,139217,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1995-Q1,140813,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1995-Q2,142565,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1995-Q3,142937,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1995-Q4,144519,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1996-Q1,145821,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1996-Q2,146735,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2002-Q2,187100,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2003-Q4,200296,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2004-Q1,204222,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2006-Q3,223974,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2006-Q4,226908,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2008-Q1,241808,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2008-Q2,240834,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2009-Q4,248968,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2010-Q4,259199,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2011-Q4,265385,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1960-Q3,42698,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1960-Q4,42364,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1961-Q1,41816,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1961-Q2,41943,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1961-Q3,42210,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1961-Q4,42493,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1962-Q1,43901,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1962-Q2,44460,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1962-Q3,44811,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1990-Q4,125636,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1991-Q1,125811,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1991-Q2,126359,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1991-Q3,127893,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1991-Q4,128061,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1992-Q1,129541,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1992-Q2,130638,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1981-Q4,98759,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1983-Q3,102403,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1997-Q2,152049,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1997-Q3,154341,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1997-Q4,156500,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,1998-Q1,156949,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2001-Q4,181898,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2002-Q1,184204,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2003-Q1,191715,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2003-Q2,193173,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2005-Q2,213766,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2005-Q3,215051,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2007-Q1,231761,2023-2024,,F,1,A,6,AUD
OECD.SDD.NAD:DSD_NAMAIN1@DF_QNA(1.1),Q,Y,AUS,S1M,S1,P3,_Z,_Z,_T,XDC,L,N,T0102,2013-Q1,273551,2023-2024,,F,1,A,6,AUD
