method,diagnostic,quarters,filter_context_end,output_correlation,consumption_correlation,gap,inference
hp1600,between_crises,40,2019-Q4,0.25397349130548369,0.17910534563037397,0.07486814567510956,descriptive_only
hp1600,after_2021,18,2026-Q2,0.55340058821828941,0.73725482020877875,-0.18385423199048967,descriptive_only
hp1600,excluding_2008_2009,103,2026-Q2,0.80019657416333667,0.80185617726164393,-0.00165960309830759,descriptive_only
hp1600,excluding_2020_2021,103,2026-Q2,0.67455720460161528,0.61028174836737470,0.06427545623424077,descriptive_only
hp1600,excluding_both,95,2026-Q2,0.59381678733869547,0.59447080404167185,-0.00065401670297621,descriptive_only
growth,between_crises,40,2019-Q4,0.13330664716297283,0.10064308741092412,0.03266355975204865,descriptive_only
growth,after_2021,18,2026-Q2,0.04604662747888491,0.30809036140079105,-0.26204373392190616,descriptive_only
growth,excluding_2008_2009,103,2026-Q2,0.81577445336227861,0.77374954883883551,0.04202490452344342,descriptive_only
growth,excluding_2020_2021,103,2026-Q2,0.40728923927218080,0.21606904847135475,0.19122019080082595,descriptive_only
growth,excluding_both,95,2026-Q2,0.20309070683232824,0.17393646081848069,0.02915424601384755,descriptive_only
hamilton,between_crises,40,2019-Q4,0.59280772232929457,0.20502042806255502,0.38778729426673969,descriptive_only
hamilton,after_2021,18,2026-Q2,0.84262399821079648,0.70403569585461034,0.13858830235618610,descriptive_only
hamilton,excluding_2008_2009,103,2026-Q2,0.69916712351463328,0.71563725685697455,-0.01647013334234135,descriptive_only
hamilton,excluding_2020_2021,103,2026-Q2,0.63256728894608827,0.52982207150339511,0.10274521744269316,descriptive_only
hamilton,excluding_both,95,2026-Q2,0.58450144424467754,0.52048286050488057,0.06401858373979666,descriptive_only
