method,start,end,quarters,output_correlation,consumption_correlation,gap
hp1600,1998-Q4,2008-Q3,40,0.45001242714083189,0.37854795276811676,0.07146447437271521
hp1600,1999-Q1,2008-Q4,40,0.57585078007886348,0.47692254436207954,0.09892823571678405
hp1600,1999-Q2,2009-Q1,40,0.69246575032284641,0.51838895626588577,0.17407679405696064
hp1600,1999-Q3,2009-Q2,40,0.73703529360490527,0.52987269629958511,0.20716259730532005
hp1600,1999-Q4,2009-Q3,40,0.76161816991077957,0.54052575658659985,0.22109241332417970
hp1600,2000-Q1,2009-Q4,40,0.77097691912131028,0.53901729407838861,0.23195962504292186
hp1600,2000-Q2,2010-Q1,40,0.76330514306495145,0.52991657473194076,0.23338856833301078
hp1600,2000-Q3,2010-Q2,40,0.75231204345941116,0.51925657995094265,0.23305546350846845
hp1600,2000-Q4,2010-Q3,40,0.74296393417491458,0.52010836380948688,0.22285557036542727
hp1600,2001-Q1,2010-Q4,40,0.75271360778348051,0.52226224486799577,0.23045136291548471
hp1600,2001-Q2,2011-Q1,40,0.74717701224182509,0.50584523085415800,0.24133178138766717
hp1600,2001-Q3,2011-Q2,40,0.75342746670572580,0.50284668064305360,0.25058078606267220
hp1600,2001-Q4,2011-Q3,40,0.76141319145689812,0.51043385648609818,0.25097933497079999
hp1600,2002-Q1,2011-Q4,40,0.76503013749205795,0.51027642664577000,0.25475371084628812
hp1600,2002-Q2,2012-Q1,40,0.76509283634660485,0.49761647108687945,0.26747636525972546
hp1600,2002-Q3,2012-Q2,40,0.76459874622457558,0.48987895040008511,0.27471979582449080
hp1600,2002-Q4,2012-Q3,40,0.76418366931645498,0.47803477602375349,0.28614889329270143
hp1600,2003-Q1,2012-Q4,40,0.76482991407757761,0.46316338999890455,0.30166652407867312
hp1600,2003-Q2,2013-Q1,40,0.75887154410789870,0.44149539912993291,0.31737614497796568
hp1600,2003-Q3,2013-Q2,40,0.75275137437110717,0.42527446793515628,0.32747690643595084
hp1600,2003-Q4,2013-Q3,40,0.74956857627602258,0.42382689010423619,0.32574168617178650
hp1600,2004-Q1,2013-Q4,40,0.75328586709838519,0.42113669101575313,0.33214917608263195
hp1600,2004-Q2,2014-Q1,40,0.75668666565087905,0.41485596695207128,0.34183069869880783
hp1600,2004-Q3,2014-Q2,40,0.75634481788029528,0.39783493880595089,0.35850987907434467
hp1600,2004-Q4,2014-Q3,40,0.75539802992281624,0.38548070935148804,0.36991732057132831
hp1600,2005-Q1,2014-Q4,40,0.75554217113071565,0.37560737532179345,0.37993479580892214
hp1600,2005-Q2,2015-Q1,40,0.75836964443363686,0.37460539451914721,0.38376424991448971
hp1600,2005-Q3,2015-Q2,40,0.75529230471229891,0.37641455476486652,0.37887774994743256
hp1600,2005-Q4,2015-Q3,40,0.75793982378173741,0.38695971422341263,0.37098010955832456
hp1600,2006-Q1,2015-Q4,40,0.75869387330282678,0.38971883673584823,0.36897503656697850
hp1600,2006-Q2,2016-Q1,40,0.76246847540668172,0.38929991719727097,0.37316855820941047
