period,method,start,end,quarters,countries,pairs,output_correlation,consumption_correlation,gap,gap_lower,gap_upper,positive_pairs,median_gap,block_length,repetitions,seed
full_common,hp1600,1998-Q4,2026-Q2,111,10,45,0.80117760553353112,0.79669669971450552,0.00448090581902561,-0.04069056514316460,0.19314867379685730,23,0.00541752860678624,8,1999,20260905
full_common,growth,1998-Q4,2026-Q2,111,10,45,0.80415363896667946,0.76848591426212653,0.03566772470455304,-0.03109990271209915,0.27741459749772779,30,0.02214674827077956,8,1999,20260905
full_common,hamilton,1998-Q4,2026-Q2,111,10,45,0.70678699360353570,0.70234549294768367,0.00444150065585185,-0.07441732831955342,0.24051234965957369,24,0.00651525052119650,8,1999,20260905
pre_pandemic,hp1600,1998-Q4,2019-Q4,85,10,45,0.64402118058061375,0.37670682474982703,0.26731435583078667,0.09987062985267429,0.34754828520481990,37,0.30676872265241828,8,1999,20260905
pre_pandemic,growth,1998-Q4,2019-Q4,85,10,45,0.43896420000498093,0.19055609887005590,0.24840810113492498,0.02619899069032480,0.35978973089416733,37,0.28126957186405221,8,1999,20260905
pre_pandemic,hamilton,1998-Q4,2019-Q4,85,10,45,0.57227855881847922,0.28505693204385990,0.28722162677461938,0.08834729323676654,0.37651261100655048,38,0.32693116887628115,8,1999,20260905
thesis_overlap,hp1600,1998-Q4,2015-Q1,66,10,45,0.67960561709215339,0.38720509103581019,0.29240052605634320,0.17320385392640542,0.37852516833939681,37,0.33403071472833795,8,1999,20260905
thesis_overlap,growth,1998-Q4,2015-Q1,66,10,45,0.46492573121866287,0.20140651738265580,0.26351921383600713,0.01005628046444820,0.37569688077839070,38,0.32224609159784307,8,1999,20260905
thesis_overlap,hamilton,1998-Q4,2015-Q1,66,10,45,0.57219248318947635,0.30637402020394178,0.26581846298553452,0.11306535205865106,0.36443085567220290,37,0.28413072962168912,8,1999,20260905
post_thesis,hp1600,2015-Q2,2026-Q2,45,10,45,0.90471291272040211,0.87350364486679644,0.03120926785360603,-0.13792386262100581,0.07107996408211385,33,0.02699644210162722,8,1999,20260905
post_thesis,growth,2015-Q2,2026-Q2,45,10,45,0.88772543124958470,0.82296925394698350,0.06475617730260151,-0.15015818851239976,0.11671077929039357,41,0.05417845937896582,8,1999,20260905
post_thesis,hamilton,2015-Q2,2026-Q2,45,10,45,0.83667813439641370,0.86399436877626412,-0.02731623437985080,-0.12747742868003067,0.03943067584949185,18,-0.02715070509962880,8,1999,20260905
