"period","method","block_length","quarters","gap","lower","upper","status","repetitions"
"full_common","hp1600",4,111,0.00448090581997595,-0.0415287600850515,0.143359854353545,"estimated",1999
"full_common","hp1600",8,111,0.00448090581997595,-0.0406905651489968,0.193148673809878,"estimated",1999
"full_common","hp1600",12,111,0.00448090581997595,-0.0444396132808556,0.239149580058455,"estimated",1999
"full_common","growth",4,111,0.0356677247045531,-0.0364949784176481,0.246028755381895,"estimated",1999
"full_common","growth",8,111,0.0356677247045531,-0.0310999027120991,0.277414597497728,"estimated",1999
"full_common","growth",12,111,0.0356677247045531,-0.0311449417222735,0.298044818437605,"estimated",1999
"full_common","hamilton",4,111,0.00444150065586391,-0.07242179871719,0.161517201307638,"estimated",1999
"full_common","hamilton",8,111,0.00444150065586391,-0.0744173283195303,0.24051234965959,"estimated",1999
"full_common","hamilton",12,111,0.00444150065586391,-0.0819149239524572,0.282550762854749,"estimated",1999
"pre_pandemic","hp1600",4,85,0.26731435583782,0.150212576314051,0.342831167393863,"estimated",1999
"pre_pandemic","hp1600",8,85,0.26731435583782,0.0998706298681271,0.347548285232582,"estimated",1999
"pre_pandemic","hp1600",12,85,0.26731435583782,0.0862428518779276,0.344983858996197,"estimated",1999
"pre_pandemic","growth",4,85,0.248408101134925,0.0197270416266385,0.372536587462591,"estimated",1999
"pre_pandemic","growth",8,85,0.248408101134925,0.0261989906903248,0.359789730894167,"estimated",1999
"pre_pandemic","growth",12,85,0.248408101134925,0.0417233974610181,0.347338706679589,"estimated",1999
"pre_pandemic","hamilton",4,85,0.287221626774622,0.109396259201214,0.365131185426787,"estimated",1999
"pre_pandemic","hamilton",8,85,0.287221626774622,0.0883472932367523,0.376512611006556,"estimated",1999
"pre_pandemic","hamilton",12,85,0.287221626774622,0.0734708327246161,0.377058776176336,"estimated",1999
"thesis_overlap","hp1600",4,66,0.29240052605931,0.192964643746804,0.368900623289468,"estimated",1999
"thesis_overlap","hp1600",8,66,0.29240052605931,0.173203853939314,0.378525168324541,"estimated",1999
"thesis_overlap","hp1600",12,66,0.29240052605931,0.163635499541911,0.375812894402453,"estimated",1999
"thesis_overlap","growth",4,66,0.263519213836007,0.00854884629042756,0.383501092224851,"estimated",1999
"thesis_overlap","growth",8,66,0.263519213836007,0.0100562804644482,0.375696880778391,"estimated",1999
"thesis_overlap","growth",12,66,0.263519213836007,0.0320963035873476,0.359195744765303,"estimated",1999
"thesis_overlap","hamilton",4,66,0.265818462985528,0.140708764775422,0.351917515198855,"estimated",1999
"thesis_overlap","hamilton",8,66,0.265818462985528,0.113065352058646,0.3644308556722,"estimated",1999
"thesis_overlap","hamilton",12,66,0.265818462985528,0.0941528356889729,0.360642137729244,"estimated",1999
"post_thesis","hp1600",4,45,0.0312092678518,-0.0991177534204808,0.0766291116810912,"estimated",1999
"post_thesis","hp1600",8,45,0.0312092678518,-0.137923862731192,0.0710799640837031,"estimated",1999
"post_thesis","hp1600",12,45,0.0312092678518,,,"fewer_than_four_blocks",0
"post_thesis","growth",4,45,0.0647561773026015,-0.12817822439611,0.12071254201035,"estimated",1999
"post_thesis","growth",8,45,0.0647561773026015,-0.1501581885124,0.116710779290393,"estimated",1999
"post_thesis","growth",12,45,0.0647561773026015,,,"fewer_than_four_blocks",0
"post_thesis","hamilton",4,45,-0.0273162343798476,-0.134285011841394,0.0235603421016657,"estimated",1999
"post_thesis","hamilton",8,45,-0.0273162343798476,-0.127477428680032,0.0394306758494979,"estimated",1999
"post_thesis","hamilton",12,45,-0.0273162343798476,,,"fewer_than_four_blocks",0
