"method","diagnostic","quarters","filter_context_end","output_correlation","consumption_correlation","gap","inference"
"hp1600","between_crises",40,"2019-Q4",0.253973491318366,0.179105345629045,0.0748681456893203,"descriptive_only"
"hp1600","after_2021",18,"2026-Q2",0.553400588405427,0.737254820292389,-0.183854231886962,"descriptive_only"
"hp1600","excluding_2008_2009",103,"2026-Q2",0.800196574162698,0.80185617726055,-0.0016596030978522,"descriptive_only"
"hp1600","excluding_2020_2021",103,"2026-Q2",0.674557204615228,0.610281748381066,0.0642754562341623,"descriptive_only"
"hp1600","excluding_both",95,"2026-Q2",0.593816787366382,0.594470804064454,-0.000654016698072287,"descriptive_only"
"growth","between_crises",40,"2019-Q4",0.133306647162973,0.100643087410924,0.0326635597520486,"descriptive_only"
"growth","after_2021",18,"2026-Q2",0.0460466274788849,0.308090361400791,-0.262043733921906,"descriptive_only"
"growth","excluding_2008_2009",103,"2026-Q2",0.815774453362279,0.773749548838835,0.0420249045234434,"descriptive_only"
"growth","excluding_2020_2021",103,"2026-Q2",0.407289239272181,0.216069048471355,0.191220190800826,"descriptive_only"
"growth","excluding_both",95,"2026-Q2",0.203090706832328,0.173936460818481,0.0291542460138475,"descriptive_only"
"hamilton","between_crises",40,"2019-Q4",0.592807722329302,0.205020428062553,0.387787294266749,"descriptive_only"
"hamilton","after_2021",18,"2026-Q2",0.8426239982108,0.704035695854609,0.138588302356192,"descriptive_only"
"hamilton","excluding_2008_2009",103,"2026-Q2",0.699167123514639,0.715637256856967,-0.0164701333423279,"descriptive_only"
"hamilton","excluding_2020_2021",103,"2026-Q2",0.632567288946095,0.529822071503388,0.102745217442707,"descriptive_only"
"hamilton","excluding_both",95,"2026-Q2",0.584501444244684,0.520482860504872,0.0640185837398117,"descriptive_only"
