"period","method","country_i","country_j","output_correlation","consumption_correlation","gap","gap_lower","gap_upper"
"full_common","hp1600","AUS","AUT",0.726570617056727,0.665167174506767,0.0614034425499592,-0.206315363830932,0.308482551108691
"full_common","hp1600","AUS","CAN",0.752398073820253,0.853993915351157,-0.101595841530903,-0.435210904745204,0.0104185479979674
"full_common","hp1600","AUS","CHE",0.598433472137142,0.694922742925843,-0.096489270788701,-0.244452457092281,0.0513121977380974
"full_common","hp1600","AUS","DEU",0.57129724605865,0.73417222868077,-0.16287498262212,-0.39910203326609,0.0144257873612783
"full_common","hp1600","AUS","FRA",0.711823403169352,0.712590965546182,-0.000767562376830289,-0.300171268778011,0.112743112245485
"full_common","hp1600","AUS","GBR",0.788410994924443,0.819061922639716,-0.0306509277152734,-0.304955846408619,0.0442498393553713
"full_common","hp1600","AUS","ITA",0.703465571773664,0.774641595197079,-0.0711760234234142,-0.542322999579486,0.0494795799195007
"full_common","hp1600","AUS","JPN",0.578786991861063,0.705425811500499,-0.126638819639435,-0.269032851714501,0.12248824698295
"full_common","hp1600","AUS","USA",0.679948924941732,0.745604725782031,-0.0656558008402988,-0.25594394231387,0.120477539297365
"full_common","hp1600","AUT","CAN",0.86449224422048,0.854927179685824,0.00956506453465678,-0.0758000247221161,0.285772307755126
"full_common","hp1600","AUT","CHE",0.843740530323772,0.882875677044556,-0.039135146720784,-0.0899856454861817,0.319099930269171
"full_common","hp1600","AUT","DEU",0.857538052061354,0.916908312496961,-0.059370260435607,-0.111386944830212,0.183664511136261
"full_common","hp1600","AUT","FRA",0.89241062699827,0.873100601424054,0.0193100255742163,-0.0380885537780529,0.386009411260035
"full_common","hp1600","AUT","GBR",0.905251879024897,0.881780774163521,0.0234711048613754,-0.0130892016057591,0.398699272458953
"full_common","hp1600","AUT","ITA",0.904763726308128,0.899346197700786,0.00541752860734246,-0.0402328047761934,0.241233575611692
"full_common","hp1600","AUT","JPN",0.724847034286792,0.58076629008983,0.144080744196962,0.0163676062657259,0.573914100017641
"full_common","hp1600","AUT","USA",0.77520867118165,0.732940985057852,0.0422676861237982,-0.120635595288164,0.308088940327773
"full_common","hp1600","CAN","CHE",0.799680116552963,0.849162842850173,-0.04948272629721,-0.1109582427987,0.30852930737469
"full_common","hp1600","CAN","DEU",0.8106274973324,0.879676958980453,-0.0690494616480534,-0.227756805702542,0.305392807924622
"full_common","hp1600","CAN","FRA",0.916249109442033,0.902192380831238,0.0140567286107945,-0.0620562676568801,0.161789767109466
"full_common","hp1600","CAN","GBR",0.897548234165224,0.928460406118608,-0.0309121719533838,-0.117395410030373,0.0627029259376863
"full_common","hp1600","CAN","ITA",0.863620161926218,0.871801918879625,-0.00818175695340684,-0.16570314617118,0.119360071397196
"full_common","hp1600","CAN","JPN",0.786360493305466,0.728660382887736,0.0577001104177298,-0.0313714260214215,0.428335321453976
"full_common","hp1600","CAN","USA",0.858047246716143,0.812096457535806,0.0459507891803373,-0.0254104134613884,0.271954285918094
"full_common","hp1600","CHE","DEU",0.851816508211122,0.915871088862134,-0.0640545806510121,-0.130743731264952,0.261742324565096
"full_common","hp1600","CHE","FRA",0.826271208524685,0.875082684975176,-0.0488114764504911,-0.0951218719948192,0.29392433758236
"full_common","hp1600","CHE","GBR",0.82008324134783,0.872509514616614,-0.0524262732687846,-0.102229762315345,0.348493111641994
"full_common","hp1600","CHE","ITA",0.846306036468916,0.849491339786645,-0.00318530331772904,-0.0628434052424001,0.428894328648024
"full_common","hp1600","CHE","JPN",0.72949739943642,0.67161387587576,0.0578835235606593,-0.0529130779363279,0.353224590290714
"full_common","hp1600","CHE","USA",0.765060327291188,0.714941284874337,0.0501190424168507,-0.110072989984631,0.355608633156678
"full_common","hp1600","DEU","FRA",0.852830627266048,0.885200628217478,-0.0323700009514299,-0.0662066662013374,0.337460825288743
"full_common","hp1600","DEU","GBR",0.804533769548184,0.877525511584237,-0.0729917420360523,-0.146243349675005,0.386388446520674
"full_common","hp1600","DEU","ITA",0.86245804115296,0.896604580171568,-0.0341465390186075,-0.0707034207498968,0.251374123047076
"full_common","hp1600","DEU","JPN",0.804807795803028,0.631854227151325,0.172953568651703,-0.00371685195824287,0.627644814683887
"full_common","hp1600","DEU","USA",0.761135022934147,0.712848029287681,0.0482869936464657,-0.240779388832351,0.363469760696378
"full_common","hp1600","FRA","GBR",0.922852376358511,0.87641807441409,0.0464343019444208,-0.0126143409457414,0.25634261600072
"full_common","hp1600","FRA","ITA",0.93817429214884,0.909140402733678,0.0290338894151615,-0.0469221757432864,0.116801187571668
