"method","start","end","quarters","output_correlation","consumption_correlation","gap"
"hp1600","1998-Q4","2008-Q3",40,0.450012427143859,0.378547952740555,0.0714644744033038
"hp1600","1999-Q1","2008-Q4",40,0.575850780076236,0.476922544334466,0.0989282357417701
"hp1600","1999-Q2","2009-Q1",40,0.692465750316645,0.518388956231266,0.17407679408538
"hp1600","1999-Q3","2009-Q2",40,0.737035293601481,0.529872696277109,0.207162597324372
"hp1600","1999-Q4","2009-Q3",40,0.7616181699058,0.540525756561141,0.221092413344659
"hp1600","2000-Q1","2009-Q4",40,0.770976919122801,0.539017294070427,0.231959625052373
"hp1600","2000-Q2","2010-Q1",40,0.763305143073887,0.529916574742201,0.233388568331686
"hp1600","2000-Q3","2010-Q2",40,0.752312043472595,0.51925657996906,0.233055463503534
"hp1600","2000-Q4","2010-Q3",40,0.74296393419817,0.520108363846816,0.222855570351353
"hp1600","2001-Q1","2010-Q4",40,0.752713607803087,0.522262244902525,0.230451362900562
"hp1600","2001-Q2","2011-Q1",40,0.747177012265771,0.505845230903491,0.24133178136228
"hp1600","2001-Q3","2011-Q2",40,0.753427466734066,0.502846680711112,0.250580786022954
"hp1600","2001-Q4","2011-Q3",40,0.761413191480613,0.510433856547288,0.250979334933325
"hp1600","2002-Q1","2011-Q4",40,0.765030137512448,0.510276426702403,0.254753710810045
"hp1600","2002-Q2","2012-Q1",40,0.765092836366473,0.497616471140142,0.267476365226331
"hp1600","2002-Q3","2012-Q2",40,0.764598746244287,0.489878950456557,0.274719795787729
"hp1600","2002-Q4","2012-Q3",40,0.764183669335892,0.478034776080069,0.286148893255823
"hp1600","2003-Q1","2012-Q4",40,0.764829914096288,0.463163390049723,0.301666524046565
"hp1600","2003-Q2","2013-Q1",40,0.758871544125715,0.441495399174122,0.317376144951593
"hp1600","2003-Q3","2013-Q2",40,0.752751374387994,0.425274467967361,0.327476906420633
"hp1600","2003-Q4","2013-Q3",40,0.749568576291412,0.423826890132536,0.325741686158876
"hp1600","2004-Q1","2013-Q4",40,0.753285867112098,0.421136691041988,0.33214917607011
"hp1600","2004-Q2","2014-Q1",40,0.756686665662463,0.414855966982851,0.341830698679612
"hp1600","2004-Q3","2014-Q2",40,0.756344817891397,0.397834938831354,0.358509879060043
"hp1600","2004-Q4","2014-Q3",40,0.755398029933385,0.385480709368028,0.369917320565357
"hp1600","2005-Q1","2014-Q4",40,0.755542171140464,0.375607375332692,0.379934795807772
"hp1600","2005-Q2","2015-Q1",40,0.758369644441246,0.37460539452781,0.383764249913436
"hp1600","2005-Q3","2015-Q2",40,0.755292304719564,0.376414554770398,0.378877749949166
"hp1600","2005-Q4","2015-Q3",40,0.757939823787229,0.386959714230015,0.370980109557213
"hp1600","2006-Q1","2015-Q4",40,0.758693873306684,0.389718836738955,0.368975036567729
"hp1600","2006-Q2","2016-Q1",40,0.762468475410713,0.389299917200576,0.373168558210138
"hp1600","2006-Q3","2016-Q2",40,0.76890444445272,0.386561607841817,0.382342836610902
"hp1600","2006-Q4","2016-Q3",40,0.768530499550376,0.38464081134186,0.383889688208517
"hp1600","2007-Q1","2016-Q4",40,0.76530974652579,0.38709810914537,0.37821163738042
"hp1600","2007-Q2","2017-Q1",40,0.754371496206311,0.388475202270305,0.365896293936005
"hp1600","2007-Q3","2017-Q2",40,0.739411855732373,0.369635484623554,0.36977637110882
"hp1600","2007-Q4","2017-Q3",40,0.71976080068146,0.343801246827695,0.375959553853765
"hp1600","2008-Q1","2017-Q4",40,0.700855148378461,0.295989115484812,0.40486603289365
"hp1600","2008-Q2","2018-Q1",40,0.660558067959724,0.244858443470973,0.415699624488751
"hp1600","2008-Q3","2018-Q2",40,0.61629045595003,0.232092073874806,0.384198382075224
"hp1600","2008-Q4","2018-Q3",40,0.58060948456846,0.253764324484688,0.326845160083773
"hp1600","2009-Q1","2018-Q4",40,0.582741964873488,0.244094234282571,0.338647730590916
"hp1600","2009-Q2","2019-Q1",40,0.544848292470881,0.221317574877086,0.323530717593795
"hp1600","2009-Q3","2019-Q2",40,0.471838211865135,0.199061988209691,0.272776223655445
"hp1600","2009-Q4","2019-Q3",40,0.356183351844836,0.166639623679828,0.189543728165008
"hp1600","2010-Q1","2019-Q4",40,0.253973491318366,0.179105345629045,0.0748681456893203
"hp1600","2010-Q2","2020-Q1",40,0.39641641631138,0.512271815266283,-0.115855398954903
"hp1600","2010-Q3","2020-Q2",40,0.896050670807333,0.894024531173731,0.00202613963360239
"hp1600","2010-Q4","2020-Q3",40,0.889765949841559,0.878782091348121,0.0109838584934382
"hp1600","2011-Q1","2020-Q4",40,0.887410436516448,0.870549447244579,0.0168609892718688
"hp1600","2011-Q2","2021-Q1",40,0.883798073402291,0.845906277610547,0.0378917957917431
"hp1600","2011-Q3","2021-Q2",40,0.894238680922842,0.840525777730203,0.0537129031926391
"hp1600","2011-Q4","2021-Q3",40,0.891857490464494,0.825654861595827,0.0662026288686666
"hp1600","2012-Q1","2021-Q4",40,0.899568922657589,0.839016102062932,0.0605528205946572
"hp1600","2012-Q2","2022-Q1",40,0.90367243777278,0.846376729816937,0.0572957079558431
"hp1600","2012-Q3","2022-Q2",40,0.905026213787467,0.853421245687183,0.0516049681002838
"hp1600","2012-Q4","2022-Q3",40,0.907082147025484,0.856385409092721,0.0506967379327633
"hp1600","2013-Q1","2022-Q4",40,0.908390847328323,0.855022989745346,0.0533678575829772
"hp1600","2013-Q2","2023-Q1",40,0.907367158331319,0.856368343451997,0.0509988148793223
"hp1600","2013-Q3","2023-Q2",40,0.905379642037768,0.858799242115315,0.0465803999224529
"hp1600","2013-Q4","2023-Q3",40,0.904773580232703,0.862115409576922,0.0426581706557809
"hp1600","2014-Q1","2023-Q4",40,0.904086523175484,0.864944011422701,0.0391425117527828
"hp1600","2014-Q2","2024-Q1",40,0.90552013583658,0.875663253142659,0.0298568826939209
"hp1600","2014-Q3","2024-Q2",40,0.905818529793534,0.875407875237087,0.0304106545564473
"hp1600","2014-Q4","2024-Q3",40,0.906858405649743,0.8751179856517,0.0317404199980425
"hp1600","2015-Q1","2024-Q4",40,0.908672146503208,0.875490270003004,0.0331818765002034
"hp1600","2015-Q2","2025-Q1",40,0.909451013773086,0.875368939129823,0.0340820746432631
"hp1600","2015-Q3","2025-Q2",40,0.91069258648339,0.875975640167638,0.0347169463157517
"hp1600","2015-Q4","2025-Q3",40,0.911228118624448,0.876399976181204,0.0348281424432444
"hp1600","2016-Q1","2025-Q4",40,0.911029870750585,0.876577665858774,0.0344522048918109
"hp1600","2016-Q2","2026-Q1",40,0.910491899904427,0.876420456790018,0.034071443114409
"hp1600","2016-Q3","2026-Q2",40,0.909645225895027,0.87721001875214,0.0324352071428869
"growth","1998-Q4","2008-Q3",40,0.269879343686105,0.204243562107816,0.0656357815782893
"growth","1999-Q1","2008-Q4",40,0.487195418131743,0.276303081944736,0.210892336187007
"growth","1999-Q2","2009-Q1",40,0.573911542341135,0.272880733242525,0.30103080909861
"growth","1999-Q3","2009-Q2",40,0.567811455624932,0.260686518668317,0.307124936956615
"growth","1999-Q4","2009-Q3",40,0.558016111696071,0.252315430129389,0.305700681566682
"growth","2000-Q1","2009-Q4",40,0.546245463422906,0.235832497595529,0.310412965827378
"growth","2000-Q2","2010-Q1",40,0.547667913410899,0.226431124314606,0.321236789096293
"growth","2000-Q3","2010-Q2",40,0.546278356281241,0.217956016972326,0.328322339308914
"growth","2000-Q4","2010-Q3",40,0.551550741363081,0.226793801346004,0.324756940017077
"growth","2001-Q1","2010-Q4",40,0.558596366324998,0.224129839212477,0.334466527112521
"growth","2001-Q2","2011-Q1",40,0.550651379858042,0.229962754609593,0.320688625248449
"growth","2001-Q3","2011-Q2",40,0.549025175058099,0.224852464716282,0.324172710341817
"growth","2001-Q4","2011-Q3",40,0.540270929301775,0.227372336777338,0.312898592524437
"growth","2002-Q1","2011-Q4",40,0.537685322810646,0.21402807685026,0.323657245960386
"growth","2002-Q2","2012-Q1",40,0.534431171985858,0.207007708828273,0.327423463157585
"growth","2002-Q3","2012-Q2",40,0.534960332313751,0.217231482637075,0.317728849676676
"growth","2002-Q4","2012-Q3",40,0.5342505488975,0.220537286935944,0.313713261961556
"growth","2003-Q1","2012-Q4",40,0.544711081891918,0.222127384226449,0.322583697665469
"growth","2003-Q2","2013-Q1",40,0.544685535402546,0.213419656409045,0.331265878993501
"growth","2003-Q3","2013-Q2",40,0.548860461278084,0.215259271613452,0.333601189664633
"growth","2003-Q4","2013-Q3",40,0.545914497188955,0.210889562533642,0.335024934655314
