"period","method","start","end","quarters","countries","pairs","output_correlation","consumption_correlation","gap","gap_lower","gap_upper","positive_pairs","median_gap","block_length","repetitions","seed"
"full_common","hp1600","1998-Q4","2026-Q2",111,10,45,0.801177605533503,0.796696699713527,0.00448090581997595,-0.0406905651489968,0.193148673809878,23,0.00541752860734246,8,1999,20260905
"full_common","growth","1998-Q4","2026-Q2",111,10,45,0.804153638966679,0.768485914262126,0.0356677247045531,-0.0310999027120991,0.277414597497728,30,0.0221467482707793,8,1999,20260905
"full_common","hamilton","1998-Q4","2026-Q2",111,10,45,0.706786993603541,0.702345492947677,0.00444150065586391,-0.0744173283195303,0.24051234965959,24,0.00651525052119339,8,1999,20260905
"pre_pandemic","hp1600","1998-Q4","2019-Q4",85,10,45,0.64402118058898,0.37670682475116,0.26731435583782,0.0998706298681271,0.347548285232582,37,0.306768722651595,8,1999,20260905
"pre_pandemic","growth","1998-Q4","2019-Q4",85,10,45,0.438964200004981,0.190556098870056,0.248408101134925,0.0261989906903248,0.359789730894167,37,0.281269571864052,8,1999,20260905
"pre_pandemic","hamilton","1998-Q4","2019-Q4",85,10,45,0.572278558818481,0.285056932043859,0.287221626774622,0.0883472932367523,0.376512611006556,38,0.326931168876273,8,1999,20260905
"thesis_overlap","hp1600","1998-Q4","2015-Q1",66,10,45,0.679605617104124,0.387205091044814,0.29240052605931,0.173203853939314,0.378525168324541,37,0.334030714762887,8,1999,20260905
"thesis_overlap","growth","1998-Q4","2015-Q1",66,10,45,0.464925731218663,0.201406517382656,0.263519213836007,0.0100562804644482,0.375696880778391,38,0.322246091597843,8,1999,20260905
"thesis_overlap","hamilton","1998-Q4","2015-Q1",66,10,45,0.572192483189478,0.30637402020395,0.265818462985528,0.113065352058646,0.3644308556722,37,0.284130729621661,8,1999,20260905
"post_thesis","hp1600","2015-Q2","2026-Q2",45,10,45,0.904712912719537,0.873503644867737,0.0312092678518,-0.137923862731192,0.0710799640837031,33,0.0269964420993505,8,1999,20260905
"post_thesis","growth","2015-Q2","2026-Q2",45,10,45,0.887725431249585,0.822969253946983,0.0647561773026015,-0.1501581885124,0.116710779290393,41,0.0541784593789659,8,1999,20260905
"post_thesis","hamilton","2015-Q2","2026-Q2",45,10,45,0.836678134396415,0.863994368776263,-0.0273162343798476,-0.127477428680032,0.0394306758494979,18,-0.0271507050996267,8,1999,20260905
