"location","variable","start","end","quarters","growth_correlation","rms_growth_difference_pp","max_abs_growth_difference_pp"
"AUS","gdp","1996-Q2","2015-Q1",76,0.930753708749622,0.201715108988101,0.483158306950493
"AUT","gdp","1996-Q2","2015-Q1",76,0.764640689641032,0.501095300331745,1.15638957550015
"CAN","gdp","1996-Q2","2015-Q1",76,0.97544263928537,0.140835709979505,0.410181346540028
"CHE","gdp","1996-Q2","2015-Q1",76,0.911274425730983,0.276177381282484,0.700874779871263
"DEU","gdp","1996-Q2","2015-Q1",76,0.962327393792647,0.249077314339743,0.730131854645499
"FRA","gdp","1996-Q2","2015-Q1",76,0.91723147147114,0.225597190761738,0.502629601728088
"GBR","gdp","1996-Q2","2015-Q1",76,0.923521068745593,0.254208298515907,0.871435410843446
"ITA","gdp","1996-Q2","2015-Q1",76,0.944757849547841,0.246143869994736,0.66432393337017
"JPN","gdp","1996-Q2","2015-Q1",76,0.94479866760953,0.355108622194917,0.941786838419034
"USA","gdp","1996-Q2","2015-Q1",76,0.977436134535639,0.143165575007913,0.736225597525575
"AUS","consumption","1996-Q2","2015-Q1",76,0.940156422681982,0.202929134348473,0.581889784718648
"AUT","consumption","1996-Q2","2015-Q1",76,0.48085184239431,0.655879638163288,1.70993358978322
"CAN","consumption","1996-Q2","2015-Q1",76,0.983301650722153,0.0918307509487294,0.393645540481025
"CHE","consumption","1996-Q2","2015-Q1",76,0.692178613430412,0.249397662886443,0.611258433952067
"DEU","consumption","1996-Q2","2015-Q1",76,0.69726470405663,0.448462143977989,1.60060914418647
"FRA","consumption","1996-Q2","2015-Q1",76,0.88752222806279,0.25415990463481,0.609931832286748
"GBR","consumption","1996-Q2","2015-Q1",76,0.705196713061214,0.589465467228059,1.66856552663468
"ITA","consumption","1996-Q2","2015-Q1",76,0.913893066865567,0.251315984949651,0.725410008557859
"JPN","consumption","1996-Q2","2015-Q1",76,0.870267687495029,0.519319524035765,2.18475735348242
"USA","consumption","1996-Q2","2015-Q1",76,0.97917650223554,0.107316881627939,0.407292392505276
