"Country","GDP Last","GDP First","Consumption Last","Consumption First","Investment Last","Investment First","Government Last","Government First","Net Exports Last","Net Exports First","Employment Last","Employment First"
"AUS","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q2","1967-Q1"
"AUT","2015-Q2","1960-Q1","2015-Q2","1960-Q1","2015-Q2","1960-Q1","2015-Q2","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1969-Q1"
"CAN","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q2","1955-Q1"
"CHE","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1",,
"DEU","2015-Q2","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1962-Q1"
"EU15","2015-Q1","1961-Q1","2014-Q4","1961-Q1","2014-Q4","1961-Q1","2014-Q4","1961-Q1","2015-Q1","1960-Q1",,
"FRA","2015-Q2","1960-Q1","2015-Q2","1960-Q1","2015-Q2","1960-Q1","2015-Q2","1960-Q1","2015-Q1","1960-Q1","2013-Q4","1978-Q1"
"GBR","2015-Q2","1955-Q1","2015-Q1","1955-Q1","2015-Q1","1955-Q1","2015-Q1","1955-Q1","2015-Q1","1960-Q1","2015-Q1","1969-Q2"
"ITA","2015-Q2","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1960-Q1","2015-Q1","1959-Q1"
"JPN","2015-Q2","1960-Q1","2015-Q2","1960-Q1","2015-Q2","1960-Q1","2015-Q2","1960-Q1","2015-Q1","1960-Q1","2015-Q2","1955-Q1"
"USA","2015-Q2","1947-Q1","2015-Q2","1947-Q1","2015-Q2","1955-Q1","2015-Q2","1955-Q1","2015-Q2","1947-Q1","2015-Q2","1955-Q1"
