"Country","Autocorrelation","gdp","cons","inv","gov","net","emp","sol"
"AUS","0.7","1","0.44","0.66","0","-0.26","0.56","0.84"
"AUT","0.72","1","0.54","0.68","-0.05","-0.12","0.29","0.91"
"CAN","0.83","1","0.78","0.69","-0.21","0.05","0.76","0.89"
"CHE","0.83","1","0.7","0.78","0.34","-0.23",,
"DEU","0.78","1","0.63","0.84","-0.06","-0.06","0.58","0.91"
"EU15","0.86","1","0.8","0.91","-0.2","-0.34",,
"FRA","0.55","1","0.68","0.83","-0.03","-0.11","0.59","0.93"
"GBR","0.8","1","0.77","0.74","-0.08","-0.35","0.62","0.92"
"ITA","0.82","1","0.69","0.79","-0.04","-0.48","0.33","0.95"
"JPN","0.78","1","0.75","0.86","0.07","-0.2","0.46","0.98"
"USA","0.85","1","0.77","0.92","-0.13","-0.35","0.77","0.92"
