"Country","usa.gdpcor","usa.concor","usa.invcor","usa.govcor","usa.netcor","usa.empcor","usa.solcor"
"AUS",0.267,0.017,0.356,0.075,0.053,0.37,0.276
"AUT",0.278,0.174,0.334,0.085,0.089,0.269,0.236
"CAN",0.746,0.563,0.347,0.326,-0.307,0.6,0.634
"CHE",0.305,0.21,0.378,-0.025,-0.108,,
"DEU",0.369,0.3,0.419,0.053,-0.041,0.368,0.306
"EU15",0.531,0.441,0.507,0.229,-0.108,,
"FRA",0.357,0.292,0.355,-0.031,0.038,0.171,0.373
"GBR",0.591,0.453,0.438,0.209,0.009,0.67,0.5
"ITA",0.315,-0.025,0.118,0.143,-0.162,0.037,0.23
"JPN",0.321,0.224,0.352,0.03,-0.22,0.411,0.202
"USA",1,1,1,1,1,1,1
