"vintage","method","statistic","point","lower","upper"
"current","hp1600",1,0.801177605533503,0.577641135763104,0.885735651103569
"current","hp1600",2,0.796696699713527,0.522119413005596,0.883443663139946
"current","hp1600",3,0.00448090581997595,-0.0312692776542454,0.179508719579683
"current","hp1600",4,0.0614034425499592,-0.156561956867336,0.32523160057703
"current","hp1600",5,-0.101595841530903,-0.379147693328864,0.00494741297046403
"current","hp1600",6,-0.096489270788701,-0.216101733454357,0.0460632215148976
"current","hp1600",7,-0.16287498262212,-0.309531434852909,-0.0147378137825048
"current","hp1600",8,-0.000767562376830289,-0.263938187075757,0.100526556631563
"current","hp1600",9,-0.0306509277152734,-0.271237772799311,0.0387060035725838
"current","hp1600",10,-0.0711760234234142,-0.463477602069236,0.0437779723590467
"current","hp1600",11,-0.126638819639435,-0.279606831799015,0.0547379963115531
"current","hp1600",12,-0.0656558008402988,-0.212531929630083,0.105181744439369
"current","hp1600",13,0.00956506453465678,-0.0453625945312013,0.233663859741933
"current","hp1600",14,-0.039135146720784,-0.090865524455193,0.288345198638896
"current","hp1600",15,-0.059370260435607,-0.115676219664171,0.102553268597989
"current","hp1600",16,0.0193100255742163,-0.0262595709829758,0.260653640876097
"current","hp1600",17,0.0234711048613754,-0.00964141326642637,0.288775845372398
"current","hp1600",18,0.00541752860734246,-0.0372558886376737,0.217106490871814
"current","hp1600",19,0.144080744196962,0.0214522021001505,0.510660222430657
"current","hp1600",20,0.0422676861237982,-0.143195466714519,0.27092873835092
"current","hp1600",21,-0.04948272629721,-0.139414590260421,0.241370701088997
"current","hp1600",22,-0.0690494616480534,-0.218615987052584,0.251865140085061
"current","hp1600",23,0.0140567286107945,-0.0622258831795224,0.121726901088041
"current","hp1600",24,-0.0309121719533838,-0.126780009840481,0.0120747327925008
"current","hp1600",25,-0.00818175695340684,-0.147638425748901,0.0794629845033134
"current","hp1600",26,0.0577001104177298,-0.0316693962439039,0.401243106239779
"current","hp1600",27,0.0459507891803373,-0.0315573943105536,0.297632552822014
"current","hp1600",28,-0.0640545806510121,-0.116957517388148,0.198967782785662
"current","hp1600",29,-0.0488114764504911,-0.102697881439272,0.265153825205967
"current","hp1600",30,-0.0524262732687846,-0.106411053484443,0.306541293879933
"current","hp1600",31,-0.00318530331772904,-0.0688197082339556,0.311118235294775
"current","hp1600",32,0.0578835235606593,-0.0357805247572147,0.351663698553389
"current","hp1600",33,0.0501190424168507,-0.0886622662473183,0.387520773092442
"current","hp1600",34,-0.0323700009514299,-0.0723735215338751,0.271662693726047
"current","hp1600",35,-0.0729917420360523,-0.145361629644366,0.299983015721774
"current","hp1600",36,-0.0341465390186075,-0.0780556367008503,0.163421901524732
"current","hp1600",37,0.172953568651703,0.0211635826613896,0.597278845384563
"current","hp1600",38,0.0482869936464657,-0.204018799955286,0.370670165897171
"current","hp1600",39,0.0464343019444208,-0.00375860735785382,0.210579356380216
"current","hp1600",40,0.0290338894151615,-0.0441935806961525,0.0873919344156138
"current","hp1600",41,0.14360876353636,0.0353803593237059,0.633568936032833
"current","hp1600",42,0.0385281300481357,-0.0419222923357061,0.266270063762666
"current","hp1600",43,0.0307462087640951,-0.0129018251809183,0.220175311017664
"current","hp1600",44,0.0457183786254163,-0.0389650841321726,0.445289453583843
"current","hp1600",45,0.00665994250918833,-0.0675202793438516,0.16162746631482
"current","hp1600",46,0.176892855247448,0.0269471496775844,0.652324206588511
"current","hp1600",47,-0.0344307198114269,-0.304118304569052,0.122283399439389
"current","hp1600",48,0.185949327326796,0.018417945962765,0.568831570627057
"original","hp1600",1,0.698156556813831,0.406942585307541,0.835319033621726
"original","hp1600",2,0.346617291028754,0.197403849677262,0.451600763373926
"original","hp1600",3,0.351539265785076,0.188354341743122,0.460408203691844
"original","hp1600",4,0.270232411419824,-0.108502188525321,0.547504274096155
"original","hp1600",5,-0.241079983025669,-0.407068607031103,0.173956955963771
"original","hp1600",6,0.203361421049481,-0.0716199735002615,0.491937610321471
"original","hp1600",7,0.178213685483296,-0.185913262584203,0.462581051807011
"original","hp1600",8,0.00831020205529492,-0.241780023566898,0.235528972003035
"original","hp1600",9,-0.113520595684748,-0.266315731264507,0.241592032124013
"original","hp1600",10,-0.259420725735605,-0.67217182760582,0.0538703420490777
"original","hp1600",11,0.109025212857489,-0.139022439335922,0.485462922170585
"original","hp1600",12,-0.160618105660283,-0.361838880304665,0.0118781567227368
"original","hp1600",13,0.548306335435613,0.23354254470256,0.778952076698259
"original","hp1600",14,0.633006223667351,0.41778276781012,1.05680514344238
"original","hp1600",15,0.395439879631334,0.189710882680644,0.591481493446246
"original","hp1600",16,0.602381859643744,0.384967109252679,0.905313878758173
"original","hp1600",17,0.67554847171851,0.130672336402957,0.928675776364729
"original","hp1600",18,0.460591672435564,0.166991761554239,0.722712772126102
"original","hp1600",19,0.444130840242554,0.0886701621063116,0.731281078754517
"original","hp1600",20,0.230517537226582,-0.15178172169793,0.642691563034617
"original","hp1600",21,0.457045315969672,0.254930408022624,0.688191090903169
"original","hp1600",22,0.511651925525404,0.0833371286036028,0.78948411323024
"original","hp1600",23,0.243729443031574,0.10043812846854,0.366562083658265
"original","hp1600",24,0.0625033890948771,-0.160998128479919,0.43777593574718
"original","hp1600",25,0.31066936536163,0.0843461661916349,0.453747430690147
"original","hp1600",26,0.507685697716145,0.270864946454932,0.687996562537112
"original","hp1600",27,0.211429417799856,0.0892193345230703,0.39929587292142
"original","hp1600",28,0.498144981602076,0.163333255761535,1.0357951128516
"original","hp1600",29,0.55854937262633,0.309984257673939,0.870880725462134
"original","hp1600",30,0.394178551504466,0.0445690825363187,0.668385698545048
"original","hp1600",31,0.910429409008836,0.410493142303574,1.34570995832007
"original","hp1600",32,0.383367565635257,-0.101765156237664,0.652419017212824
"original","hp1600",33,0.407617678329134,0.159929690102125,0.692508684788379
"original","hp1600",34,0.397324955726702,0.0881993752121911,0.708457643215
"original","hp1600",35,0.549068974498698,0.0814937669110855,0.722495950327665
"original","hp1600",36,0.531154776142463,0.298507390079243,0.758668224648247
"original","hp1600",37,0.672103611707159,0.259563872534964,0.818690094635606
"original","hp1600",38,0.152660109978783,-0.310851886166921,0.392058003466332
"original","hp1600",39,0.337063343584825,-0.0244542164148739,0.633135613346631
"original","hp1600",40,0.217693096350104,0.0802691591960323,0.33558957292254
"original","hp1600",41,0.682727742718642,0.312354918451344,0.87219933713546
"original","hp1600",42,0.226537509950155,-0.0571323013072606,0.441439530209613
"original","hp1600",43,0.562955575653049,0.188131843790005,0.829442191798647
"original","hp1600",44,0.574352384513782,0.272691016371617,0.77201899742127
"original","hp1600",45,0.0642416693554895,-0.0247184653035783,0.152480215206756
"original","hp1600",46,0.838094475665523,0.423584038645026,0.99038914841345
